,links
32,https://www.mirror.co.uk/sport/football/news/robbie-savage-charlie-goal-forestgreen-29432749
33,https://www.mirror.co.uk/sport/football/news/gary-lineker-bbc-motd-crisis-29429739
34,https://www.mirror.co.uk/sport/football/football-wonderkids-adu-keirrison-sinclair-29423213
35,https://www.mirror.co.uk/sport/football/news/steven-gerrard-gives-jurgen-klopp-29428464
36,https://www.mirror.co.uk/sport/football/news/lineker-bbc-terry-baddiel-chelsea-29431046
37,https://www.mirror.co.uk/sport/football/news/letissier-wright-lineker-bbc-row-29430772
38,https://www.mirror.co.uk/sport/football/news/bbc-radio-coverage-gary-lineker-29431215
39,https://www.mirror.co.uk/sport/football/news/steven-gerrard-new-management-job-29431165
40,https://www.mirror.co.uk/sport/football/news/gary-lineker-bbc-motd-reaction-29429643
41,https://www.mirror.co.uk/sport/football/news/harry-kane-given-four-transfer-29429803
42,https://www.mirror.co.uk/sport/football/news/premier-league-cryptocurrency-gustavo-scarpa-29426435
43,https://www.mirror.co.uk/sport/football/transfer-news/chelsea-transfer-raheem-sterling-news-29430007
44,https://www.mirror.co.uk/sport/football/news/jude-bellingham-transfer-manutd-liverpool-29431063
45,https://www.mirror.co.uk/sport/football/news/gary-lineker-bbc-dan-walker-29430326
46,https://www.mirror.co.uk/sport/football/news/motd-premier-league-gary-lineker-29430095
47,https://www.mirror.co.uk/sport/football/news/breaking-alex-scott-football-focus-29430324
48,https://www.mirror.co.uk/sport/football/transfer-news/man-utd-bayern-harry-kane-29424699
49,https://www.mirror.co.uk/sport/football/news/man-utd-takeover-deadline-glazers-29429587
50,https://www.mirror.co.uk/sport/football/news/jurgen-klopp-refuse-bbc-interview-29429876
51,https://www.mirror.co.uk/sport/football/news/match-of-the-day-lineker-29429210
52,https://www.mirror.co.uk/sport/football/news/breaking-matchoftheday-commentators-gary-lineker-29429354
53,https://www.mirror.co.uk/sport/football/news/edu-almost-horribly-wrong-after-29429383
54,https://www.mirror.co.uk/sport/football/news/marcus-rashford-salah-player-month-29422624
55,https://www.mirror.co.uk/sport/football/news/gary-lineker-tweet-bbc-reaction-29427236
56,https://www.mirror.co.uk/sport/football/news/newcastle-chelsea-uefa-multi-club-29417058
57,https://www.mirror.co.uk/sport/football/news/gary-lineker-bbc-premier-league-29429603
58,https://www.mirror.co.uk/sport/football/nani-carragher-foul-ferguson-manutd-29420613
59,https://www.mirror.co.uk/sport/football/news/liverpool-transfer-news-klopp-signings-29423732
60,https://www.mirror.co.uk/sport/football/news/breaking-gary-lineker-alex-scott-29428049
61,https://www.mirror.co.uk/sport/football/news/tottenham-antonio-conte-richarlison-interview-29425053
62,https://www.mirror.co.uk/sport/football/news/liverpool-summer-transfers-midfielder-klopp-29426839
63,https://www.mirror.co.uk/sport/football/news/david-de-gea-man-utd-29424950
64,https://www.mirror.co.uk/sport/football/news/antonio-conte-tottenham-arnaut-danjuma-29429044
65,https://www.mirror.co.uk/sport/football/news/liverpool-klopp-salah-nunez-gakpo-29427234
66,https://www.mirror.co.uk/sport/football/news/uk-weather-premier-league-football-29421115
67,https://www.mirror.co.uk/sport/football/news/man-utd-scholes-bruno-fernandes-29421336
68,https://www.mirror.co.uk/sport/football/news/breaking-gary-lineker-ian-wright-29427845
69,https://www.mirror.co.uk/sport/football/news/ian-wright-gary-lineker-bbc-29427483
70,https://www.mirror.co.uk/sport/football/breaking-gary-lineker-bbc-motd-29427150
71,https://www.mirror.co.uk/sport/football/news/arsenal-mikel-arteta-gary-neville-29423114
72,https://www.mirror.co.uk/sport/football/news/man-utd-takeover-latest-elliott-29422971
73,https://www.mirror.co.uk/sport/football/news/pep-guardiola-responds-kyle-walker-29424743
74,https://www.mirror.co.uk/sport/football/news/aston-villa-emery-martinez-timewasting-29426527
75,https://www.mirror.co.uk/sport/football/news/cristiano-ronaldo-lionel-messi-alnassr-29424816
76,https://www.mirror.co.uk/sport/football/news/barcelona-corruption-la-liga-charges-29427861
77,https://www.mirror.co.uk/sport/football/news/liverpool-bournemouth-man-utd-villa-29413142
78,https://www.mirror.co.uk/sport/football/news/wolves-strikers-premier-league-goal-29402119
79,https://www.mirror.co.uk/sport/football/news/marcus-rashford-man-utd-captain-29421632
80,https://www.mirror.co.uk/sport/football/cristiano-ronaldo-al-nassr-defeat-29419936
81,https://www.mirror.co.uk/sport/football/news/man-utd-eriksen-injury-update-29424497
82,https://www.mirror.co.uk/sport/football/news/liverpool-jurgen-klopp-roberto-firmino-29425564
83,https://www.mirror.co.uk/sport/football/news/arsenal-sporting-lisbon-martin-keown-29420014
84,https://www.mirror.co.uk/sport/football/news/eddie-howe-hits-back-liverpool-29423300
85,https://www.mirror.co.uk/sport/football/news/liverpool-transfers-money-sponsors-expedia-29421324
86,https://www.mirror.co.uk/sport/football/news/manutd-liverpool-premier-league-referees-29421507
87,https://www.mirror.co.uk/sport/football/transfer-news/man-utd-transfers-harry-kane-29422029
88,https://www.mirror.co.uk/sport/football/news/manutd-liverpool-fernandes-scholes-betis-29422005
89,https://www.mirror.co.uk/sport/football/news/victor-osimhen-transfer-psg-manutd-29422934
90,https://www.mirror.co.uk/sport/football/news/manutd-rashford-weghorst-betis-goal-29420941
91,https://www.mirror.co.uk/sport/football/news/liverpool-mohamed-salah-steven-gerrard-29420565
92,https://www.mirror.co.uk/sport/football/news/manutd-bruno-fernandes-captain-scholes-29420681
93,https://www.mirror.co.uk/sport/football/news/marcus-rashford-man-united-betis-29419528
94,https://www.mirror.co.uk/sport/football/news/breaking-real-betis-fans-fight-29419776
95,https://www.mirror.co.uk/sport/football/news/cristiano-ronaldo-lionel-messi-evra-29420348
96,https://www.mirror.co.uk/sport/football/news/man-utd-ferguson-ten-hag-29420970
97,https://www.mirror.co.uk/sport/football/news/manchester-united-betis-goals-scholes-29420095
98,https://www.mirror.co.uk/sport/football/news/arsene-wenger-arsenal-transfer-mistake-29419114
99,https://www.mirror.co.uk/sport/football/news/liverpool-bournemouth-premier-league-solanke-29403367
100,https://www.mirror.co.uk/sport/football/news/man-utd-de-jong-transfer-29420308
101,https://www.mirror.co.uk/sport/football/news/juventus-allegri-pogba-dropped-late-29420560
102,https://www.mirror.co.uk/sport/football/news/jose-mourinho-roma-europa-league-29420908
103,https://www.mirror.co.uk/sport/football/news/arsenal-sporting-europa-league-highlights-29418057
104,https://www.mirror.co.uk/sport/football/news/man-utd-real-betis-fernandes-29419643
105,https://www.mirror.co.uk/sport/football/news/mauricio-pochettino-tottenham-return-conte-29418260
106,https://www.mirror.co.uk/sport/football/news/arsenal-cesc-fabregas-transfer-wenger-29419661
107,https://www.mirror.co.uk/sport/football/news/manutd-real-betis-martinez-tenhag-29420530
108,https://www.mirror.co.uk/sport/football/news/gary-lineker-nazi-tweet-bbc-29416643
109,https://www.mirror.co.uk/sport/football/news/man-utd-bruno-fernandes-betis-29420178
110,https://www.mirror.co.uk/sport/football/news/manutd-weghorst-goal-anfield-sign-29419861
111,https://www.mirror.co.uk/sport/football/news/arsenal-david-dein-charlie-nicholas-29418727
112,https://www.mirror.co.uk/sport/football/match-reports/west-ham-europa-conference-league-29419318
113,https://www.mirror.co.uk/sport/football/news/man-utd-betis-ten-hag-29419899
114,https://www.mirror.co.uk/sport/football/news/everton-boss-sean-dyche-reveals-29419435
115,https://www.mirror.co.uk/sport/football/news/psg-galtier-sack-decision-bayern-29420645
116,https://www.mirror.co.uk/sport/football/match-reports/manchester-united-antony-rashford-betis-29419864
117,https://www.mirror.co.uk/sport/football/news/patrick-blondeau-daughter-thylane-paris-29417371
118,https://www.mirror.co.uk/sport/football/news/real-madrid-liverpool-champions-league-29415928
119,https://www.mirror.co.uk/sport/football/news/premier-league-referees-time-wasting-29418228
120,https://www.mirror.co.uk/sport/football/news/manutd-transfer-target-mason-mount-29416718
121,https://www.mirror.co.uk/sport/football/news/lionel-messi-ronaldo-ballon-dor-29414231
122,https://www.mirror.co.uk/sport/football/news/robert-lewandowski-barcelona-bayern-munich-29416566
123,https://www.mirror.co.uk/sport/football/transfer-news/jose-mourinho-man-united-osimhen-29417698
124,https://www.mirror.co.uk/sport/football/news/kyle-walker-wife-furious-flashing-29410064
125,https://www.mirror.co.uk/sport/football/news/harry-kane-tottenham-transfer-contract-29412949
126,https://www.mirror.co.uk/sport/football/transfer-news/harry-kane-tottenham-manutd-bayern-29412441
127,https://www.mirror.co.uk/sport/football/news/richarlison-conte-rant-tottenham-milan-29410471
128,https://www.mirror.co.uk/sport/football/richarlison-conte-rant-spurs-milan-29411957
129,https://www.mirror.co.uk/sport/football/news/harry-kane-transfer-man-utd-29411918
130,https://www.mirror.co.uk/sport/football/news/man-united-lineup-paul-scholes-29418964
131,https://www.mirror.co.uk/sport/football/news/manutd-captain-tenhag-bruno-fernandes-29412620
132,https://www.mirror.co.uk/sport/football/transfer-news/arsenal-newcastle-transfer-kieran-tierney-29413366
133,https://www.mirror.co.uk/sport/football/news/psg-bayern-owen-hargreaves-mbappe-29410870
134,https://www.mirror.co.uk/sport/football/news/man-utd-takeover-bids-presentation-29410690
135,https://www.mirror.co.uk/sport/football/news/kyle-walker-video-england-mancity-29408736
136,https://www.mirror.co.uk/sport/football/news/muller-lionel-messi-cristiano-ronaldo-29411147
137,https://www.mirror.co.uk/sport/football/news/mbappe-psg-bayern-champions-league-29410552
138,https://www.mirror.co.uk/sport/football/news/brendan-rodgers-leicester-vestergaard-future-29415488
139,https://www.mirror.co.uk/sport/football/news/psg-bayern-messi-mbappe-transfer-29411715
140,https://www.mirror.co.uk/sport/football/news/fikayo-tomori-england-ac-milan-29413466
141,https://www.mirror.co.uk/sport/football/news/rio-ferdinand-tottenham-champions-league-29409937
142,https://www.mirror.co.uk/sport/football/match-reports/tottenham-ac-milan-conte-kane-29409383
143,https://www.mirror.co.uk/sport/football/news/bayern-psg-lionel-messi-mbappe-29409064
144,https://www.mirror.co.uk/sport/football/news/rose-tottenham-levy-champions-league-29411286
145,https://www.mirror.co.uk/sport/football/match-reports/champions-league-tottenham-ac-milan-29409600
146,https://www.mirror.co.uk/sport/football/news/liverpool-manutd-roy-evans-bet-29401761
147,https://www.mirror.co.uk/sport/football/news/ten-hag-martial-man-utd-29410761
